Timestamp,date,respondent_id,How many alarms did it take to wake up?,How refreshed do you feel now?,How alert do you feel right now?,How long did you sleep (in hh:mm),hours_slept,Did you do any strenuous activity yesterday (such as workout/gym etc.)?,How stressed were you last night?
2018/12/01 11:49:21 AM PST,12/1/18,19,1,Refreshed,Very Alert,6:30,6.5,Yes,Not at all stressed
2018/12/03 10:59:50 AM PST,12/3/18,19,1,Refreshed,Very Alert,7:00,7,No,Not at all stressed
2018/12/04 2:07:02 PM PST,12/4/18,19,1,Refreshed,Very Alert,7h:00m,7,No,Not at all stressed
2018/12/06 10:56:43 AM PST,12/6/18,19,1,Tired,Very Alert,4h,4,No,Somewhat Stressed
2018/11/29 8:25:25 AM PST,11/29/18,12,2,Tired,Neutral,7:00,7,No,Neutral
2018/11/30 9:17:44 AM PST,11/30/18,12,Woke up before/without an alarm,Refreshed,Somewhat Alert,8:30,8.5,Yes,Not at all stressed
2018/12/02 8:58:33 AM PST,12/2/18,12,1,Refreshed,Somewhat Alert,12:30,12.5,No,Neutral
2018/12/04 7:35:18 AM PST,12/4/18,12,1,Neutral,Somewhat Alert,7:00,7,No,Somewhat Stressed
2018/12/05 8:14:24 AM PST,12/5/18,12,1,Refreshed,Somewhat Alert,8:00,8,Yes,Not at all stressed
2018/12/06 12:08:40 PM PST,12/6/18,12,2,Tired,Somewhat not alert,7:30,7.5,Yes,Somewhat not stressed
2018/11/29 5:17:58 AM PST,11/29/18,50,1,Refreshed,Very Alert,7:45,7.75,No,Neutral
2018/11/29 11:34:42 PM PST,11/30/18,50,1,Refreshed,Very Alert,8:00,8,No,Neutral
2018/12/01 2:54:58 AM PST,12/1/18,50,1,Neutral,Neutral,5:30,5.5,No,Not at all stressed
2018/12/02 1:45:45 AM PST,12/2/18,50,1,Very Refreshed,Very Alert,11:00,11,No,Not at all stressed
2018/12/03 6:39:17 AM PST,12/3/18,50,1,Tired,Somewhat not alert,4:40,4.66,No,Neutral
2018/12/04 7:24:12 AM PST,12/4/18,50,More than 4,Very Refreshed,Very Alert,9:00,9,No,Somewhat Stressed
2018/12/06 3:21:20 AM PST,12/6/18,50,1,Refreshed,Somewhat Alert,8:00,8,No,Neutral
2018/12/03 12:10:40 AM PST,12/3/18,56,2,Refreshed,Very Alert,6:45,6.75,Yes,Somewhat Stressed
2018/12/05 11:36:59 PM PST,12/5/18,56,More than 4,Neutral,Somewhat Alert,7:00,7,No,Neutral
2018/11/30 7:19:00 PM PST,12/1/18,23,1,Refreshed,Somewhat Alert,6,6,No,Not at all stressed
2018/12/02 12:45:52 AM PST,12/2/18,23,Woke up before/without an alarm,Refreshed,Somewhat Alert,7:30,7.5,Yes,Not at all stressed
2018/12/04 3:38:09 AM PST,12/4/18,23,Woke up before/without an alarm,Refreshed,Somewhat Alert,8:30,8.5,No,Not at all stressed
2018/12/06 2:12:21 PM PST,12/6/18,23,1,Neutral,Somewhat Alert,7:00,7,Yes,Somewhat not stressed
2018/12/03 1:04:32 PM PST,12/3/18,57,3,Neutral,Neutral,6.3,6.5,No,Neutral
2018/12/05 9:36:25 AM PST,12/5/18,57,1,Neutral,Neutral,5.3,5.5,No,Somewhat Stressed
2018/11/28 7:06:36 PM PST,11/29/18,26,Woke up before/without an alarm,Neutral,Somewhat Alert,8:15,8.25,No,Neutral
2018/11/29 10:23:23 PM PST,11/30/18,26,1,Neutral,Somewhat Alert,8:30,8.5,No,Somewhat not stressed
2018/12/01 5:05:29 AM PST,12/1/18,26,Woke up before/without an alarm,Neutral,Neutral,7:30,7.5,No,Neutral
2018/12/02 12:20:07 AM PST,12/2/18,26,1,Refreshed,Somewhat Alert,8:00,8,No,Neutral
2018/12/02 7:36:24 PM PST,12/3/18,26,Woke up before/without an alarm,Refreshed,Somewhat Alert,8:00,8,No,Somewhat not stressed
2018/12/03 7:48:54 PM PST,12/4/18,26,Woke up before/without an alarm,Refreshed,Somewhat Alert,8:00,8,No,Somewhat not stressed
2018/12/04 11:00:12 PM PST,12/5/18,26,Woke up before/without an alarm,Tired,Neutral,7:30,7.5,No,Not at all stressed
2018/11/29 1:59:04 AM PST,11/29/18,47,3,Neutral,Neutral,8:20,8.33,Yes,Somewhat Stressed
2018/11/30 7:04:29 AM PST,11/30/18,47,3,Neutral,Somewhat Alert,7,7,No,Somewhat Stressed
2018/12/01 2:24:57 AM PST,12/1/18,47,3,Refreshed,Somewhat Alert,9,9,No,Somewhat Stressed
2018/12/02 2:07:09 AM PST,12/2/18,47,1,Refreshed,Somewhat Alert,9:07,9.15,Yes,Neutral
2018/12/04 8:00:18 AM PST,12/4/18,47,2,Tired,Neutral,4:00,4,No,Somewhat Stressed
2018/12/05 3:19:16 AM PST,12/5/18,47,Woke up before/without an alarm,Refreshed,Neutral,8:45,8.75,Yes,Neutral
2018/12/06 12:15:50 AM PST,12/6/18,47,1,Refreshed,Somewhat Alert,6:51,6.8,Yes,Somewhat not stressed
